Year,Region,Average Weekly earnings,Medain Weekly earnings,Average hourly earnings,Median hourly earnings,Number of people
1998,Northland,334,300,11.4,10,22.4
1999,Northland,388,352,13.57,11.22,24.1
2000,Northland,377,330,12.74,11.51,25.8
2001,Northland,446,401,16.83,12,26.9
2002,Northland,480,378,16.21,12.62,28.2
2003,Northland,477,408,17.25,13.2,29.4
2004,Northland,479,460,17.53,14,29.4
2005,Northland,509,460,18.27,14.02,29.8
2006,Northland,541,488,19.64,14.67,32
2007,Northland,558,480,25.12,15.68,33.2
2008,Northland,577,518,19.82,16,32.2
2009,Northland,632,575,20.87,17.89,32.6
2010,Northland,633,575,19.96,17.33,33.8
2011,Northland,627,540,23.96,16.5,33.9
2012,Northland,650,560,22.37,18.6,32.5
2013,Northland,654,585,24.25,18.7,30.5
2014,Northland,753,660,24.25,19.57,33.3
2015,Northland,773,700,24.12,20.17,34.2
2016,Northland,761,749,23.28,20.62,35.8
2017,Northland,828,690,25.35,20.14,38.3
2018,Northland,913,832,26.24,22.97,39.9
2019,Northland,910,767,29.61,21.92,39.1
1998,Auckland,481,462,15.56,13.04,246.3
1999,Auckland,504,479,17.67,13.51,257.7
2000,Auckland,548,480,17.83,14.5,248.5
2001,Auckland,575,516,17.85,14.62,260.8
2002,Auckland,617,537,18.73,15,274.3
2003,Auckland,645,575,19.81,15.82,279.9
2004,Auckland,634,574,20.71,15.6,289.3
2005,Auckland,657,575,20.75,16.67,301.1
2006,Auckland,665,613,21.67,16.88,311.8
2007,Auckland,693,640,21.71,18.3,323.6
2008,Auckland,736,687,23.02,19.18,329.2
2009,Auckland,782,720,24.46,20.14,318.1
2010,Auckland,800,720,25.24,20.25,321.5
2011,Auckland,814,740,25.97,21.3,331.5
2012,Auckland,854,767,27.5,21.58,340.5
2013,Auckland,860,772,25.86,22.06,333.2
2014,Auckland,901,825,27.32,22.71,349.6
2015,Auckland,928,840,28.69,23.31,358.4
2016,Auckland,975,860,27.15,23.96,394
2017,Auckland,1017,901,30.19,24.93,406.5
2018,Auckland,1058,940,30.32,25,433.5
2019,Auckland,1113,960,31.53,25.57,450.6
1998,Waikato,425,398,15.23,12,66.7
1999,Waikato,437,364,17.26,12,70.7
2000,Waikato,460,432,16.96,12.5,74.4
2001,Waikato,462,420,19.78,13.19,73
2002,Waikato,472,432,18.15,13.08,76.1
2003,Waikato,521,470,19.06,13.5,79.4
2004,Waikato,513,460,22.72,14.09,84.9
2005,Waikato,546,500,21.04,14.68,83.3
2006,Waikato,554,518,21.71,15.98,94.1
2007,Waikato,602,518,25.76,16.3,94.7
2008,Waikato,620,544,21.61,16.27,95.3
2009,Waikato,659,600,22.59,18,92.3
2010,Waikato,662,600,23.55,18.03,91.2
2011,Waikato,680,600,22.71,18.55,94.4
2012,Waikato,754,624,27.67,19.18,91.9
2013,Waikato,708,661,24.15,19.18,94.3
2014,Waikato,758,690,28.27,20.19,93.2
2015,Waikato,815,729,29.49,20.92,99.3
2016,Waikato,874,767,27.43,21.67,106.6
2017,Waikato,828,767,26.36,21.58,115.6
2018,Waikato,858,812,26.55,22.33,116.4
2019,Waikato,952,858,29.4,23.97,117.6
1998,Bay of Plenty,383,350,13.9,11.03,44
1999,Bay of Plenty,415,377,15.16,11.3,44
2000,Bay of Plenty,433,390,15.08,11.8,48.9
2001,Bay of Plenty,450,384,16.41,11.95,47.7
2002,Bay of Plenty,458,395,17.34,12.08,51.7
2003,Bay of Plenty,486,409,19.79,12.5,49.6
2004,Bay of Plenty,475,457,18.96,13.06,54.5
2005,Bay of Plenty,481,450,19.96,14.77,56.7
2006,Bay of Plenty,536,480,19,15.31,59.4
2007,Bay of Plenty,582,532,21.86,15.82,60.3
2008,Bay of Plenty,577,526,18.68,15.71,58.5
2009,Bay of Plenty,610,575,19.95,16.97,60
2010,Bay of Plenty,657,575,20.63,17.34,59.4
2011,Bay of Plenty,644,592,21.77,17.5,60.5
2012,Bay of Plenty,667,600,21.17,17.81,59.8
2013,Bay of Plenty,743,688,25.09,19.59,59.4
2014,Bay of Plenty,706,614,24.71,19,62.2
2015,Bay of Plenty,722,648,24.5,19.2,65.1
2016,Bay of Plenty,770,720,23.55,21,69.5
2017,Bay of Plenty,831,743,29.74,22.25,70.3
2018,Bay of Plenty,888,762,30.97,22.54,73.1
2019,Bay of Plenty,924,812,34.07,24,77.3
1998,Gisbourne/Hawks Bay,379,345,13.55,11.5,33.2
1999,Gisbourne/Hawks Bay,398,362,13.07,11,37.3
2000,Gisbourne/Hawks Bay,402,376,14.64,11.82,36.9
2001,Gisbourne/Hawks Bay,429,396,14.56,12.14,38.4
2002,Gisbourne/Hawks Bay,487,450,15.81,12.95,38.4
2003,Gisbourne/Hawks Bay,492,420,15.41,13.12,41.6
2004,Gisbourne/Hawks Bay,479,403,20.18,13.8,41.8
2005,Gisbourne/Hawks Bay,480,450,20.41,13.46,44.2
2006,Gisbourne/Hawks Bay,512,480,17.55,14.29,46
2007,Gisbourne/Hawks Bay,541,480,17.69,14.5,44.1
2008,Gisbourne/Hawks Bay,593,526,19.87,15.58,46.8
2009,Gisbourne/Hawks Bay,645,575,20.89,17.05,44.6
2010,Gisbourne/Hawks Bay,656,585,21.9,17.72,43.4
2011,Gisbourne/Hawks Bay,627,575,21.17,17.34,43.7
2012,Gisbourne/Hawks Bay,648,594,21.35,17.85,45.9
2013,Gisbourne/Hawks Bay,656,600,21.79,18,44.9
2014,Gisbourne/Hawks Bay,707,640,23.76,18.65,45
2015,Gisbourne/Hawks Bay,722,660,23.54,19.18,46.2
2016,Gisbourne/Hawks Bay,800,719,26.59,20.8,48.5
2017,Gisbourne/Hawks Bay,799,752,24.01,20.27,50.1
2018,Gisbourne/Hawks Bay,872,767,27.12,22.07,52
2019,Gisbourne/Hawks Bay,856,784,28.57,23.02,50
1998,Taranaki,391,360,14.37,11.52,19.8
1999,Taranaki,407,360,23.05,12,21.4
2000,Taranaki,381,330,14.94,10.53,20
2001,Taranaki,427,385,15.87,12,20.7
2002,Taranaki,447,386,17.2,12.5,23.1
2003,Taranaki,541,460,23.87,13.43,22.8
2004,Taranaki,460,420,20.21,12.55,22.4
2005,Taranaki,530,467,21.17,14,24.5
2006,Taranaki,566,500,22.17,15,25.3
2007,Taranaki,555,480,19.44,15.34,25.2
2008,Taranaki,631,547,23.94,16,23.2
2009,Taranaki,645,575,23.09,17.74,25.1
2010,Taranaki,646,560,22.63,17.98,25.7
2011,Taranaki,676,615,23.23,18.69,25.3
2012,Taranaki,727,617,28.36,18.55,25.4
2013,Taranaki,691,625,23.32,19,26.9
2014,Taranaki,777,671,24.83,19.44,26.3
2015,Taranaki,807,711,27.68,22,26.8
2016,Taranaki,737,652,23.41,20.14,28
2017,Taranaki,858,820,23.68,21.93,27.5
2018,Taranaki,906,767,27.05,22.48,28.5
2019,Taranaki,869,790,30.76,23.01,31.2
1998,Manawatu-Wanganui,360,320,16.05,10.42,42.2
1999,Manawatu-Wanganui,376,330,14.32,11.74,42.9
2000,Manawatu-Wanganui,419,388,17.53,11.99,41.1
2001,Manawatu-Wanganui,439,400,15.29,12,44.1
2002,Manawatu-Wanganui,471,416,15.12,12.51,45.9
2003,Manawatu-Wanganui,483,425,16.08,12.75,47.4
2004,Manawatu-Wanganui,522,479,17.73,13.43,45.4
2005,Manawatu-Wanganui,515,469,17.18,14.24,49
2006,Manawatu-Wanganui,530,492,19.75,14.42,49.9
2007,Manawatu-Wanganui,564,506,20.19,15.34,47.2
2008,Manawatu-Wanganui,608,543,26.08,16,49.4
2009,Manawatu-Wanganui,650,585,21.53,17.65,52.7
2010,Manawatu-Wanganui,657,614,21.06,18,50
2011,Manawatu-Wanganui,642,575,27.05,17.5,52.3
2012,Manawatu-Wanganui,666,600,23.88,18.22,51.8
2013,Manawatu-Wanganui,705,633,22.59,19.18,50
2014,Manawatu-Wanganui,678,600,24.51,18.6,48.4
2015,Manawatu-Wanganui,670,621,26.92,18.75,50.9
2016,Manawatu-Wanganui,720,679,23.01,20,57.2
2017,Manawatu-Wanganui,784,682,24.23,20,54.4
2018,Manawatu-Wanganui,800,760,25.65,21,54.9
2019,Manawatu-Wanganui,876,806,26.1,22.5,56.7
1998,Wellington,532,479,16.09,13.7,97.5
1999,Wellington,572,518,16.38,14.38,93.8
2000,Wellington,546,500,18.15,14.06,104.3
2001,Wellington,574,532,17.79,14.86,109
2002,Wellington,589,532,19,15.48,107.8
2003,Wellington,598,537,18.39,15.25,107.9
2004,Wellington,649,600,19.02,16.59,108.1
2005,Wellington,623,556,19.03,15.58,113.5
2006,Wellington,697,600,20.42,17.38,114.3
2007,Wellington,798,672,23.62,19.06,119
2008,Wellington,781,675,24.19,19.56,120.8
2009,Wellington,777,671,24.55,19.66,123.3
2010,Wellington,820,738,25.45,20.14,120
2011,Wellington,827,767,25.33,21.97,119.4
2012,Wellington,877,767,28.51,22.58,121.7
2013,Wellington,954,806,28.67,24.09,122.2
2014,Wellington,952,861,28.19,23.44,124.3
2015,Wellington,908,795,27.39,23,127.6
2016,Wellington,1058,925,29.67,24.93,135.5
2017,Wellington,1076,940,30.81,25,137.1
2018,Wellington,1109,959,32.81,25.57,140.3
2019,Wellington,1157,997,35.53,26.37,145.6
1998,Nelson/Tasman/Malborough/West Coast,532,479,16.09,13.7,97.5
1999,Nelson/Tasman/Malborough/West Coast,572,518,16.38,14.38,93.8
