Year,Average Weekly Earnings,Median weekly Earings,Average Hourly Earnings,median Hourly earnings,Number of people
1998,584,518,16.19,13.01,1693.8
1999,602,520,17.57,13.43,1734.8
2000,609,537,17.67,13.5,1757.2
2001,641,560,17.55,10,1813.3
2002,664,575,18.37,14.58,1878.9
2003,704,600,19.79,15,1919.9
2004,725,614,20.78,15.38,1981.8
2005,748,640,20.7,16.19,2049.3
2006,760,671,21.26,17,2118.5
2007,818,710,22.75,18,2142.5
2008,843,729,23.31,18.86,2152.9
2009,870,760,24.16,19.51,2121.8
2010,889,767,24.62,19.95,2127.7
2011,902,769,25.25,20.02,2145
2012,935,800,26.52,20.78,2142
2013,965,836,26.69,21.48,2154
2014,1014,859,27.83,21.92,2234
2015,1031,880,28.3,22.68,2297
2016,1086,924,28.85,23.22,2433
2017,1118,959,30.36,24,2511
2018,1168,979,31.59,24.95,2601
2019,1192,1000,32.36,25.1,2646
