Year,Average Weekly Earnings,Median Weekly Earnings,Average Hourly Earnings,Median Hourly Earnings,Number of People (000)
1998,706,608,17.16,14,938.2
1999,723,615,18.24,14.25,947.4
2000,720,621,18.56,14.22,965.2
2001,759,651,17.96,14.85,984.1
2002,779,671,18.87,15.15,1020.6
2003,833,689,20.12,15.82,1041.4
2004,861,710,21.58,16.11,1082
2005,896,751,21.28,17.12,1102.2
2006,895,768,21.67,17.84,1138.5
2007,966,806,23.36,18.89,1151.8
2008,998,850,24.46,19.29,1145.7
2009,1016,863,25.09,20.24,1130.3
2010,1034,875,25.4,20.5,1129.2
2011,1054,890,25.87,20.92,1138.2
2012,1087,921,27.15,21.58,1129.1
2013,1122,959,27.92,22.06,1140.3
2014,1180,960,29.22,23,1193.4
2015,1207,1000,29.56,23.97,1226.4
2016,1258,1055,30.19,24.72,1287.1
2017,1291,1092,31.96,25,1332.9
2018,1351,1125,33.46,25.89,1371.5
2019,1352,1127,33.41,26.37,1388.8
