Year,Region,Average Weekly earnings,Medain Weekly earnings,Average hourly earnings,Median hourly earnings,Number of people
1998,Nelson/Tasman/Malborough/West Coast,473,435,13.31,11.5,73.2
1999,Nelson/Tasman/Malborough/West Coast,491,440,15.58,11.38,73.1
2000,Nelson/Tasman/Malborough/West Coast,517,480,17.04,12.9,74.3
2001,Nelson/Tasman/Malborough/West Coast,548,500,14.77,12.72,78.8
2002,Nelson/Tasman/Malborough/West Coast,594,534,15.57,13.2,78.3
2003,Nelson/Tasman/Malborough/West Coast,589,537,16.78,13.43,79.7
2004,Nelson/Tasman/Malborough/West Coast,631,552,18.35,14.29,81.3
2005,Nelson/Tasman/Malborough/West Coast,676,581,20.44,15,88.3
2006,Nelson/Tasman/Malborough/West Coast,700,624,19.55,16,86.1
2007,Nelson/Tasman/Malborough/West Coast,767,672,22.25,17,85.7
2008,Nelson/Tasman/Malborough/West Coast,794,700,22.65,17.84,88.9
2009,Nelson/Tasman/Malborough/West Coast,818,709,22.69,18.2,86.8
2010,Nelson/Tasman/Malborough/West Coast,802,719,23.7,18.22,88
2011,Nelson/Tasman/Malborough/West Coast,824,705,24.73,19,87.7
2012,Nelson/Tasman/Malborough/West Coast,817,720,24.41,19.26,87.6
2013,Nelson/Tasman/Malborough/West Coast,840,748,23.74,19.7,88.8
2014,Nelson/Tasman/Malborough/West Coast,914,760,24.64,20,88.5
2015,Nelson/Tasman/Malborough/West Coast,925,777,23.73,20.3,88.5
2016,Nelson/Tasman/Malborough/West Coast,1008,810,26.24,20.8,91.4
2017,Nelson/Tasman/Malborough/West Coast,966,832,26.1,21.86,95
2018,Nelson/Tasman/Malborough/West Coast,1016,874,30.67,22.32,97.5
2019,Nelson/Tasman/Malborough/West Coast,1098,959,35.24,24.07,97.5
1998,Cantebury,508,462,14.67,12.47,216.5
1999,Cantebury,578,498,19.46,12.83,232.3
2000,Cantebury,575,500,15.76,13.02,231.8
2001,Cantebury,575,520,15.69,13.5,248.8
2002,Cantebury,607,537,17.38,13.84,255
2003,Cantebury,655,575,19.71,14.51,259.2
2004,Cantebury,679,600,19.41,15,271.7
2005,Cantebury,704,636,19.94,16.41,291.6
2006,Cantebury,768,652,22.64,16.78,297
2007,Cantebury,784,689,22.56,17.81,293.5
2008,Cantebury,793,686,22.12,18,297.7
2009,Cantebury,844,731,24.07,19.44,287.9
2010,Cantebury,855,750,24.78,20,294.6
2011,Cantebury,893,767,23.94,20,280.9
2012,Cantebury,880,767,25.13,20.34,279.1
2013,Cantebury,967,832,27.41,21.1,299.3
2014,Cantebury,994,825,26.35,21.62,315.4
2015,Cantebury,983,863,27.11,22.3,317.4
2016,Cantebury,1029,921,28.42,23.15,331.1
2017,Cantebury,1066,950,30.52,24.29,335.8
2018,Cantebury,1140,978,31.29,25,338.4
2019,Cantebury,1171,988,31.24,25,341.1
1998,Otago,517,480,14.42,12.36,87.7
1999,Otago,519,468,15.96,12.32,85.4
2000,Otago,489,448,14.51,12.41,84.6
2001,Otago,560,510,16.6,12.82,86.7
2002,Otago,552,504,16.23,13,92
2003,Otago,581,527,22.14,14,95
2004,Otago,601,552,17.13,14.44,97.6
2005,Otago,683,614,18.85,15.8,99.2
2006,Otago,721,638,20.35,16.75,102.9
2007,Otago,723,671,20.31,17.26,103.8
2008,Otago,745,667,20.98,17.5,101.3
2009,Otago,794,729,23.72,19.12,102.3
2010,Otago,831,765,25.55,19.62,107.3
2011,Otago,840,735,25.75,19.76,109.4
2012,Otago,822,737,23.07,19.56,107.5
2013,Otago,912,810,25.16,21.17,106
2014,Otago,995,806,27.76,21.58,111.3
2015,Otago,963,863,26.71,22,112.9
2016,Otago,915,832,26.76,21,112.3
2017,Otago,967,880,28.52,22.48,118.5
2018,Otago,1074,947,30.66,24.36,130
2019,Otago,1032,924,27.18,23.5,128.3
1998,Southland,620,537,16.17,13.04,44.3
1999,Southland,528,450,17.6,11.72,46.2
2000,Southland,554,527,17.02,12.65,42.5
2001,Southland,653,550,19.09,13.5,44.8
2002,Southland,637,575,17.52,14.17,44.7
2003,Southland,686,556,18.74,14.18,46.7
2004,Southland,647,560,18.36,14,47.7
2005,Southland,674,575,19.33,15,49.6
2006,Southland,710,640,18.75,15.75,50.1
2007,Southland,760,671,22.66,16.41,51
2008,Southland,801,690,20.81,16.96,50.1
2009,Southland,759,695,21.46,17.58,50.7
2010,Southland,860,740,22.64,18.67,50
2011,Southland,829,760,23.62,19.18,51
2012,Southland,858,720,23.24,18.66,51.2
2013,Southland,892,806,25.11,20,48.8
2014,Southland,1000,840,26.47,21.58,50.6
2015,Southland,970,880,26.2,22,52.2
2016,Southland,1010,903,25.03,21.92,55.6
2017,Southland,972,921,26.44,22.16,51.3
2018,Southland,920,840,27.6,22.06,52.1
2019,Southland,1186,974,33.38,23.97,56.1
