Industry,2013,2014,2015,2016,2017,2018,2019
"Agriculture, Forestry and Fishing",911,907,953,984,1048,1119,1117
Mining,1857,2785,2174,2426,2310,2230,2063
Manufacturing,1085,1129,1217,1248,1259,1279,1346
"Electricity, Gas, Water and Waste Services",1396,1471,1661,1553,1485,1700,1555
Construction,1135,1084,1138,1203,1227,1273,1306
Wholesale Trade,1110,1252,1256,1349,1521,1450,1417
Retail Trade and Accommodation,723,756,771,778,780,828,906
"Transport, Postal and Warehousing",1129,1146,1195,1253,1251,1259,1306
"Information, Media and Telecommunications",1292,1459,1438,1417,1641,1549,1438
Financial and Insurance Services,1761,1811,1839,1973,1961,2030,2090
"Rental, Hiring and Real Estate Services",1220,1333,1328,1747,1345,1490,1625
Professional and Administrative Services,1395,1444,1514,1545,1538,1647,1599
Public Administration and Safety,1332,1379,1427,1518,1527,1591,1582
Education and Training,1206,1129,1189,1208,1271,1381,1366
Health,1361,1230,1215,1289,1417,1354,1370
"Art, Recreation and Other Services",982,876,1000,984,1029,1069,1073
